id,date,branch,staff,amount
1076,2018/10/14,大阪,佐藤,16440
1077,2018/10/10,神戸,後藤,527571
1078,2018/10/14,大阪,武藤,149700
1079,2018/10/14,大阪,佐藤,98200
1080,2018/10/14,大阪,木藤,181000
1081,2018/10/17,大阪,佐藤,116800
1082,2018/10/23,大阪,佐藤,457843
1083,2018/10/28,大阪,加藤,164900
1084,2018/10/21,神戸,後藤,8850
1085,2018/10/21,大阪,加藤,178688
1086,2018/10/25,神戸,江藤,87720
1087,2018/10/28,大阪,兵藤,14480
1088,2018/10/24,神戸,斎藤,203616
1089,2018/10/25,神戸,斎藤,28512
1090,2018/10/29,大阪,佐藤,246700
1091,2018/10/29,大阪,佐藤,93450
1092,2018/11/4,大阪,木藤,335400
1093,2018/11/8,大阪,武藤,243618
1094,2018/11/5,神戸,斎藤,35260
1095,2018/11/4,大阪,佐藤,184064
1096,2018/11/6,大阪,佐藤,158400
1097,2018/11/5,大阪,佐藤,229600
1098,2018/11/11,大阪,木藤,292480
1099,2018/11/8,大阪,加藤,161888
1100,2018/11/8,大阪,佐藤,81442
1101,2018/11/15,大阪,佐藤,36360
1102,2018/11/15,神戸,斎藤,14160
1103,2018/12/3,神戸,権藤,64206
1104,2018/11/20,大阪,武藤,539872
1105,2018/11/18,大阪,加藤,13630
1106,2018/11/25,神戸,斎藤,859328
1107,2018/11/20,大阪,兵藤,56880
1108,2018/11/20,神戸,権藤,48000
1109,2018/11/27,神戸,権藤,110640
1110,2018/12/2,大阪,武藤,116768
1111,2018/11/27,神戸,江藤,42940
1112,2018/11/26,神戸,江藤,347168
1113,2018/12/2,大阪,佐藤,739020
1114,2018/12/3,大阪,武藤,204624
1115,2018/11/28,大阪,加藤,154960
1116,2018/12/4,大阪,佐藤,44720
1117,2018/12/4,大阪,武藤,95000
1118,2018/12/2,大阪,加藤,40320
1119,2018/12/30,大阪,兵藤,13600
1120,2018/12/2,神戸,斎藤,83420
1121,2018/12/2,大阪,木藤,168978
1122,2018/12/9,大阪,兵藤,239040
1123,2018/12/27,神戸,権藤,111760
1124,2018/12/24,大阪,武藤,7296
1125,2018/12/9,神戸,江藤,921090
1126,2018/12/11,大阪,佐藤,136640
1127,2018/12/9,大阪,武藤,45900
1128,2018/12/9,大阪,加藤,33800
1129,2018/12/13,大阪,武藤,39900
1130,2018/12/13,大阪,武藤,86360
1131,2018/12/19,神戸,江藤,10320
1132,2018/12/13,大阪,木藤,86328
1134,2018/12/13,大阪,加藤,11200
1135,2018/12/16,大阪,佐藤,290000
1136,2018/12/18,大阪,兵藤,89900
1137,2018/12/20,大阪,加藤,222240
1138,2018/12/23,大阪,武藤,69120
1139,2018/12/25,神戸,後藤,16600
1140,2018/12/20,大阪,武藤,105840
1141,2018/12/20,大阪,木藤,122880
1142,2018/12/24,大阪,佐藤,183280
1143,2018/12/26,神戸,権藤,209088
1144,2018/12/31,大阪,加藤,8640
