id,date,branch,staff,amount
1053,2018/9/18,Osaka,Shibata,60800
1054,2018/9/17,Osaka,Hirano,75500
1055,2018/10/9,Osaka,Sato,270880
1056,2018/9/18,Kobe,Fushimi,111780
1057,2018/9/17,Osaka,Nashimoto,95440
1058,2018/10/9,Osaka,Hirano,374130
1059,2018/9/23,Osaka,Nashimoto,49850
1060,2018/9/25,Osaka,Shibata,42400
1061,2018/9/24,Kobe,Fushimi,8880
1062,2018/10/23,Osaka,Oda,176200
1063,2018/9/27,Osaka,Hirano,33600
1064,2018/9/26,Osaka,Nashimoto,26880
1065,2018/10/3,Osaka,Shibata,161480
1066,2018/10/4,Osaka,Shibata,18240
1067,2018/10/4,Osaka,Nashimoto,209430
1068,2018/10/3,Osaka,Sato,51680
1069,2018/10/8,Osaka,Nashimoto,283500
1070,2018/10/10,Kobe,Nagasawa,28800
1071,2018/10/4,Osaka,Hirano,24040
1072,2018/10/11,Kobe,Fushimi,119120
1073,2018/10/18,Kobe,Kobayashi,51600
1074,2018/10/11,Osaka,Oda,14400
1075,2018/10/23,Kobe,Fushimi,11200
1076,2018/10/14,Osaka,Sato,16440
1077,2018/10/10,Kobe,Nakagawa,527571
1078,2018/10/14,Osaka,Nashimoto,149700
1079,2018/10/14,Osaka,Sato,98200
1080,2018/10/14,Osaka,Shibata,181000
1081,2018/10/17,Osaka,Sato,116800
1082,2018/10/23,Osaka,Sato,457843
1083,2018/10/28,Osaka,Oda,164900
1084,2018/10/21,Kobe,Nakagawa,8850
1085,2018/10/21,Osaka,Oda,178688
1086,2018/10/25,Kobe,Kobayashi,87720
1087,2018/10/28,Osaka,Hirano,14480
1088,2018/10/24,Kobe,Fushimi,203616
1089,2018/10/25,Kobe,Fushimi,28512
1090,2018/10/29,Osaka,Sato,246700
1091,2018/10/29,Osaka,Sato,93450
1092,2018/11/4,Osaka,Shibata,335400
1093,2018/11/8,Osaka,Nashimoto,243618
1094,2018/11/5,Kobe,Fushimi,35260
1095,2018/11/4,Osaka,Sato,184064
1096,2018/11/6,Osaka,Sato,158400
1097,2018/11/5,Osaka,Sato,229600
1098,2018/11/11,Osaka,Shibata,292480
1099,2018/11/8,Osaka,Oda,161888
1100,2018/11/8,Osaka,Sato,81442
1101,2018/11/15,Osaka,Sato,36360
1102,2018/11/15,Kobe,Fushimi,14160
1103,2018/12/3,Kobe,Nagasawa,64206
1104,2018/11/20,Osaka,Nashimoto,539872
1105,2018/11/18,Osaka,Oda,13630
1106,2018/11/25,Kobe,Fushimi,859328
1107,2018/11/20,Osaka,Hirano,56880
1108,2018/11/20,Kobe,Nagasawa,48000
1109,2018/11/27,Kobe,Nagasawa,110640
1110,2018/12/2,Osaka,Nashimoto,116768
1111,2018/11/27,Kobe,Kobayashi,42940
1112,2018/11/26,Kobe,Kobayashi,347168
1113,2018/12/2,Osaka,Sato,739020
1114,2018/12/3,Osaka,Nashimoto,204624
1115,2018/11/28,Osaka,Oda,154960
1116,2018/12/4,Osaka,Sato,44720
1117,2018/12/4,Osaka,Nashimoto,95000
1118,2018/12/2,Osaka,Oda,40320
1119,2018/12/30,Osaka,Hirano,13600
1120,2018/12/2,Kobe,Fushimi,83420
1121,2018/12/2,Osaka,Shibata,168978
1122,2018/12/9,Osaka,Hirano,239040
1123,2018/12/27,Kobe,Nagasawa,111760
1124,2018/12/24,Osaka,Nashimoto,7296
1125,2018/12/9,Kobe,Kobayashi,921090
1126,2018/12/11,Osaka,Sato,136640
1127,2018/12/9,Osaka,Nashimoto,45900
1128,2018/12/9,Osaka,Oda,33800
1129,2018/12/13,Osaka,Nashimoto,39900
1130,2018/12/13,Osaka,Nashimoto,86360
1131,2018/12/19,Kobe,Kobayashi,10320
1132,2018/12/13,Osaka,Shibata,86328
1133,2019/1/16,Osaka,Hirano,131382
1134,2018/12/13,Osaka,Oda,11200
1135,2018/12/16,Osaka,Sato,290000
1136,2018/12/18,Osaka,Hirano,89900
1137,2018/12/20,Osaka,Oda,222240
1138,2018/12/23,Osaka,Nashimoto,69120
1139,2018/12/25,Kobe,Nakagawa,16600
1140,2018/12/20,Osaka,Nashimoto,105840
1141,2018/12/20,Osaka,Shibata,122880
1142,2018/12/24,Osaka,Sato,183280
1143,2018/12/26,Kobe,Nagasawa,209088
1144,2018/12/31,Osaka,Oda,8640
1145,2019/1/1,Osaka,Shibata,144000
1146,2019/1/3,Osaka,Nashimoto,255695
1147,2019/1/3,Osaka,Nashimoto,44200
1148,2019/1/3,Kobe,Nagasawa,212292
1149,2019/1/6,Osaka,Nashimoto,190380
1150,2019/1/2,Kobe,Kobayashi,71672
1151,2019/1/9,Osaka,Shibata,250560
1152,2019/1/8,Osaka,Hirano,176560
1153,2019/1/16,Osaka,Nashimoto,306300
1154,2019/1/10,Osaka,Nashimoto,386860
1155,2019/1/10,Osaka,Hirano,271350
1156,2019/1/9,Osaka,Sato,85501
1157,2019/1/8,Osaka,Shibata,159125
1158,2019/1/22,Osaka,Nashimoto,40000
1159,2019/1/13,Kobe,Fushimi,183078
1160,2019/1/30,Osaka,Shibata,119400
1161,2019/1/14,Osaka,Hirano,162240
1162,2019/1/14,Osaka,Oda,31920
1163,2019/1/15,Osaka,Oda,80200
1164,2019/1/21,Kobe,Nakagawa,96680
1165,2019/1/15,Osaka,Hirano,33480
1166,2019/1/16,Osaka,Oda,212320
1167,2019/1/17,Osaka,Shibata,22483
1168,2019/1/24,Osaka,Oda,10240
1169,2019/1/27,Osaka,Hirano,72000
1170,2019/1/28,Osaka,Sato,1118840
1171,2019/1/24,Osaka,Sato,181480
1172,2019/1/30,Osaka,Sato,209760
1173,2019/1/27,Osaka,Oda,170784
1174,2019/1/27,Osaka,Hirano,119427
1175,2019/1/31,Osaka,Shibata,4980
1176,2019/2/24,Kobe,Nagasawa,102000
1177,2019/1/27,Kobe,Fushimi,919456
1178,2019/2/14,Kobe,Nagasawa,36000
1179,2019/2/6,Osaka,Sato,33820
1180,2019/3/3,Osaka,Sato,65100
1181,2019/2/4,Kobe,Fushimi,19200
1182,2019/2/7,Osaka,Oda,144137
1183,2019/2/3,Osaka,Sato,489920
1184,2019/2/7,Osaka,Sato,189225
1185,2019/2/7,Osaka,Oda,48500
1186,2019/3/4,Osaka,Oda,85120
1187,2019/2/13,Osaka,Oda,32112
1188,2019/2/7,Osaka,Hirano,63160
1189,2019/2/11,Osaka,Oda,199452
1190,2019/2/12,Osaka,Hirano,39300
1191,2019/2/14,Osaka,Oda,45400
1192,2019/2/10,Kobe,Nagasawa,107800
1193,2019/2/28,Osaka,Sato,492413
1194,2019/3/14,Osaka,Oda,175500
1195,2019/2/18,Osaka,Oda,179200
1196,2019/2/14,Osaka,Hirano,51744
1197,2019/2/21,Osaka,Oda,103170
1198,2019/2/20,Osaka,Oda,17490
1199,2019/2/19,Kobe,Nagasawa,24624
1200,2019/3/7,Osaka,Sato,91440
1201,2019/2/24,Osaka,Sato,44340
1202,2019/2/27,Osaka,Oda,183820
1203,2019/3/11,Osaka,Hirano,42512
1204,2019/3/12,Osaka,Sato,384966
1205,2019/2/26,Osaka,Hirano,201850
1206,2019/2/26,Osaka,Nashimoto,40770
1207,2019/2/25,Osaka,Sato,33120
1208,2019/3/3,Osaka,Hirano,268400
1209,2019/2/28,Osaka,Hirano,55760
1210,2019/3/3,Osaka,Shibata,158400
1211,2019/3/4,Kobe,Fushimi,389100
1212,2019/2/28,Osaka,Sato,165920
1213,2019/3/3,Osaka,Hirano,17610
1214,2019/3/5,Osaka,Nashimoto,153870
1215,2019/3/18,Osaka,Shibata,15600
1216,2019/3/6,Kobe,Kobayashi,71330
1217,2019/3/14,Osaka,Sato,160928
1218,2019/3/14,Osaka,Nashimoto,251800
1219,2019/3/13,Osaka,Sato,21600
1220,2019/3/11,Osaka,Hirano,23520
1221,2019/3/12,Osaka,Oda,71760
1222,2019/3/14,Osaka,Nashimoto,95667
1223,2019/3/14,Osaka,Sato,182080
1224,2019/3/18,Osaka,Shibata,132800
1225,2019/3/19,Osaka,Hirano,103680
1226,2019/3/21,Osaka,Nashimoto,23040
1227,2019/3/21,Kobe,Kobayashi,124910
1228,2019/4/4,Kobe,Nakagawa,150518
1229,2019/3/24,Osaka,Hirano,18048
1230,2019/3/25,Kobe,Kobayashi,55800
1231,2019/3/26,Osaka,Shibata,47120
1232,2019/3/21,Osaka,Oda,1049560
1233,2019/3/24,Kobe,Nagasawa,75600
1234,2019/3/25,Osaka,Hirano,147200
1235,2019/4/10,Osaka,Nashimoto,14700
1236,2019/4/25,Kobe,Fushimi,66880
1237,2019/4/1,Osaka,Oda,38620
1238,2019/3/31,Osaka,Sato,158400
1239,2019/4/2,Osaka,Nashimoto,127200
1240,2019/3/28,Osaka,Shibata,88970
1241,2019/4/2,Osaka,Hirano,151200
1242,2019/4/9,Kobe,Nagasawa,43920
1243,2019/4/3,Kobe,Fushimi,316320
1244,2019/4/8,Osaka,Hirano,25950
1245,2019/4/11,Osaka,Oda,85120
1246,2019/4/10,Osaka,Sato,60840
1247,2019/4/9,Osaka,Sato,91200
1248,2019/4/11,Osaka,Oda,27800
1249,2019/4/7,Kobe,Fushimi,19000
1250,2019/4/7,Kobe,Fushimi,138060
1251,2019/4/11,Osaka,Hirano,57500
1252,2019/4/16,Osaka,Sato,141200
1253,2019/4/17,Kobe,Nagasawa,52326
1254,2019/4/16,Kobe,Nakagawa,14900
1255,2019/4/29,Osaka,Shibata,81630
1256,2019/4/16,Kobe,Nagasawa,204850
1257,2019/4/18,Osaka,Sato,138850
1258,2019/4/21,Osaka,Oda,14790
1259,2019/5/2,Kobe,Nakagawa,41580
1260,2019/4/22,Kobe,Fushimi,74906
1261,2019/5/13,Osaka,Nashimoto,24000
1262,2019/4/29,Osaka,Sato,13680
1263,2019/4/28,Kobe,Nagasawa,470754
1264,2019/4/21,Osaka,Sato,255000
1265,2019/4/24,Kobe,Fushimi,52530
1266,2019/4/28,Kobe,Fushimi,194200
1267,2019/5/16,Osaka,Oda,862345
1268,2019/5/23,Osaka,Shibata,992130
1269,2019/5/1,Osaka,Shibata,238105
1270,2019/4/29,Osaka,Oda,35200
1271,2019/5/5,Osaka,Sato,415005
1272,2019/5/1,Kobe,Nagasawa,231420
1273,2019/5/1,Kobe,Fushimi,20000
1274,2019/5/2,Osaka,Hirano,22550
1275,2019/5/6,Osaka,Sato,231824
1276,2019/5/30,Kobe,Fushimi,244431
1277,2019/5/7,Osaka,Nashimoto,319265
1278,2019/5/23,Osaka,Nashimoto,81840
1279,2019/5/15,Osaka,Sato,115140
1280,2019/5/7,Kobe,Fushimi,150300
1281,2019/5/9,Kobe,Nagasawa,39220
1282,2019/5/9,Kobe,Kobayashi,94600
1283,2019/5/12,Osaka,Oda,418000
1284,2019/5/19,Kobe,Fushimi,11000
1285,2019/5/12,Kobe,Fushimi,79635
1286,2019/5/22,Osaka,Hirano,222220
1287,2019/5/14,Osaka,Hirano,46570
1288,2019/5/21,Osaka,Sato,194085
1289,2019/6/6,Osaka,Oda,164500
1290,2019/5/19,Osaka,Nashimoto,182380
1291,2019/5/16,Kobe,Nakagawa,13980
1292,2019/5/23,Kobe,Nagasawa,35550
1293,2019/6/13,Osaka,Oda,1019170
1294,2019/5/29,Osaka,Shibata,194652
1295,2019/5/26,Osaka,Nashimoto,46911
1296,2019/5/23,Osaka,Hirano,150450
1297,2019/5/30,Osaka,Sato,41720
1298,2019/6/26,Osaka,Hirano,21000
1299,2019/5/27,Osaka,Nashimoto,281200
1300,2019/6/2,Osaka,Oda,179280
1301,2019/6/2,Osaka,Oda,24010
1302,2019/5/30,Kobe,Kobayashi,355427
1303,2019/6/6,Kobe,Fushimi,68330
1304,2019/6/6,Osaka,Sato,167730
1305,2019/6/5,Osaka,Shibata,88050
1306,2019/6/3,Osaka,Shibata,154630
1307,2019/6/5,Osaka,Sato,172852
1308,2019/6/4,Kobe,Nagasawa,294440
1309,2019/6/13,Osaka,Shibata,83520
1310,2019/6/6,Kobe,Nakagawa,115250
1311,2019/6/10,Osaka,Nashimoto,214290
1312,2019/6/13,Kobe,Nagasawa,52041
1313,2019/6/9,Osaka,Hirano,107242
1314,2019/6/9,Osaka,Shibata,284450
1315,2019/6/12,Osaka,Nashimoto,48870
1316,2019/6/24,Osaka,Shibata,96500
1317,2019/6/16,Osaka,Sato,123405
1318,2019/6/18,Osaka,Hirano,63990
1319,2019/6/18,Kobe,Nakagawa,176100
1320,2019/6/17,Osaka,Nashimoto,251900
1321,2019/7/9,Osaka,Oda,15500
1322,2019/7/11,Kobe,Kobayashi,89000
1323,2019/6/19,Osaka,Oda,246525
1324,2019/7/4,Osaka,Hirano,55059
1325,2019/6/25,Osaka,Oda,150108
1326,2019/6/20,Kobe,Fushimi,208200
1327,2019/6/30,Osaka,Sato,76430
1328,2019/6/30,Kobe,Kobayashi,214740
1329,2019/6/30,Osaka,Oda,83845
1330,2019/6/30,Kobe,Nakagawa,56900
1331,2019/7/25,Osaka,Sato,47700
1332,2019/7/4,Osaka,Nashimoto,31775
1333,2019/7/1,Osaka,Sato,101374
1334,2019/7/2,Osaka,Oda,31000
1335,2019/7/14,Osaka,Oda,33000
1336,2019/7/4,Osaka,Shibata,223750
1337,2019/7/4,Osaka,Sato,59375
1338,2019/7/10,Kobe,Fushimi,14250
1339,2019/7/9,Kobe,Nakagawa,2380
1340,2019/7/9,Osaka,Nashimoto,80738
1341,2019/7/10,Osaka,Shibata,312000
1342,2019/7/14,Osaka,Hirano,7200
1343,2019/7/14,Osaka,Sato,110100
1344,2019/7/16,Osaka,Nashimoto,81250
1345,2019/7/16,Osaka,Oda,51646
1346,2019/8/13,Kobe,Fushimi,199440
1347,2019/7/16,Osaka,Oda,56550
1348,2019/7/14,Osaka,Shibata,472500
1349,2019/8/12,Osaka,Hirano,118088
1350,2019/7/18,Kobe,Fushimi,71808
1351,2019/7/18,Osaka,Nashimoto,238850
1352,2019/7/21,Kobe,Nagasawa,49300
1353,2019/7/21,Osaka,Sato,47980
1354,2019/7/22,Kobe,Fushimi,228500
1355,2019/7/22,Osaka,Hirano,4875
1356,2019/8/8,Osaka,Hirano,148300
1357,2019/7/29,Osaka,Nashimoto,23085
1358,2019/7/29,Osaka,Nashimoto,410969
1359,2019/7/31,Osaka,Sato,113040
1360,2019/7/25,Kobe,Kobayashi,647540
1361,2019/8/1,Osaka,Sato,106400
1362,2019/7/30,Kobe,Fushimi,42400
1363,2019/8/6,Osaka,Hirano,29925
1364,2019/8/1,Kobe,Nagasawa,80800
1365,2019/8/1,Osaka,Nashimoto,637500
1366,2019/8/1,Osaka,Sato,35320
1367,2019/8/1,Osaka,Hirano,46400
1368,2019/8/6,Osaka,Shibata,12000
1369,2019/8/5,Osaka,Nashimoto,480699
1370,2019/8/4,Osaka,Sato,140250
1371,2019/8/8,Osaka,Nashimoto,269750
1372,2019/8/7,Osaka,Oda,12600
1373,2019/8/14,Osaka,Shibata,5750
1374,2019/8/11,Osaka,Sato,75850
1375,2019/8/11,Osaka,Sato,56000
1376,2019/8/12,Osaka,Hirano,133695
1377,2019/8/19,Osaka,Sato,139324
1378,2019/8/14,Osaka,Oda,47975
1379,2019/8/20,Osaka,Nashimoto,150360
1380,2019/8/21,Osaka,Hirano,118575
1381,2019/8/20,Osaka,Sato,45000
1382,2019/8/20,Osaka,Sato,277505
1383,2019/8/19,Osaka,Nashimoto,90360
1384,2019/8/15,Osaka,Hirano,5580
1385,2019/8/19,Osaka,Hirano,58900
1386,2019/8/18,Kobe,Fushimi,551059
1387,2019/8/21,Osaka,Sato,498550
1388,2019/8/21,Osaka,Hirano,132622
1389,2019/8/26,Osaka,Sato,62950
1390,2019/8/26,Kobe,Nagasawa,276194
1391,2019/9/1,Osaka,Oda,272005
1392,2019/8/27,Kobe,Fushimi,50000
1393,2019/8/28,Osaka,Sato,70875
1394,2019/8/26,Osaka,Sato,205400
1395,2019/9/5,Kobe,Fushimi,69600
1396,2019/9/2,Kobe,Nagasawa,81450
1397,2019/9/1,Osaka,Oda,137180
1398,2019/9/2,Osaka,Sato,153500
1399,2019/9/3,Kobe,Nakagawa,144600
1400,2019/9/3,Osaka,Sato,63600
1401,2019/9/9,Kobe,Kobayashi,37237
1402,2019/8/29,Kobe,Kobayashi,143400
1403,2019/9/3,Kobe,Kobayashi,177920
1404,2019/9/11,Osaka,Hirano,39780
1405,2019/9/8,Osaka,Sato,31884
1406,2019/9/19,Osaka,Nashimoto,108315
1407,2019/9/11,Kobe,Kobayashi,60183
1408,2019/9/11,Osaka,Nashimoto,15440
1409,2019/9/10,Kobe,Nagasawa,60421
1410,2019/9/15,Osaka,Shibata,437160
1411,2019/9/8,Osaka,Sato,446460
1412,2019/9/10,Kobe,Fushimi,122702
1413,2019/10/15,Osaka,Hirano,170100
1414,2019/9/15,Kobe,Fushimi,56260
1415,2019/9/18,Osaka,Oda,12500
1416,2019/10/3,Osaka,Shibata,193040
1417,2019/9/19,Osaka,Nashimoto,128839
1418,2019/9/17,Osaka,Nashimoto,129500
1419,2019/9/22,Kobe,Fushimi,466694
1420,2019/9/19,Kobe,Fushimi,153680
1421,2019/9/23,Osaka,Nashimoto,62527
1422,2019/9/22,Osaka,Shibata,57000
1423,2019/9/18,Osaka,Sato,230175
1424,2019/9/24,Osaka,Nashimoto,92010
1425,2019/9/26,Kobe,Nakagawa,381525
1426,2019/9/19,Osaka,Shibata,41235
1427,2019/9/30,Osaka,Sato,4500
1428,2019/9/23,Kobe,Kobayashi,142300
1429,2019/9/29,Osaka,Shibata,53485
1430,2019/9/26,Osaka,Nashimoto,81336
1431,2019/10/16,Kobe,Fushimi,525650
1432,2019/9/30,Osaka,Hirano,66000
1433,2019/9/26,Osaka,Nashimoto,126188
1434,2019/9/30,Osaka,Oda,128740
1435,2019/10/1,Osaka,Oda,37550
1436,2019/10/1,Osaka,Shibata,6300
1437,2019/9/30,Osaka,Oda,176800
1438,2019/10/3,Osaka,Sato,80110
1439,2019/10/8,Osaka,Shibata,140445
1440,2019/10/30,Kobe,Nakagawa,496090
1441,2019/10/7,Osaka,Sato,316060
1442,2019/10/7,Osaka,Nashimoto,47250
1443,2019/10/3,Osaka,Nashimoto,86250
1444,2019/10/22,Osaka,Shibata,1016480
1445,2019/10/13,Osaka,Sato,87800
1446,2019/10/10,Osaka,Oda,207120
1447,2019/10/9,Osaka,Hirano,482500
1448,2019/10/14,Kobe,Fushimi,64200
1449,2019/10/14,Osaka,Hirano,99600
1450,2019/10/14,Osaka,Oda,80543
1451,2019/10/17,Osaka,Sato,343645
1452,2019/10/13,Osaka,Oda,11400
1453,2019/10/16,Osaka,Oda,163840
1454,2019/10/15,Kobe,Nagasawa,286450
1455,2019/10/21,Osaka,Sato,33000
1456,2019/10/20,Kobe,Nagasawa,254500
1457,2019/11/7,Kobe,Nagasawa,59550
1458,2019/11/18,Kobe,Nakagawa,37800
1459,2019/10/21,Osaka,Hirano,189300
1460,2019/10/23,Osaka,Sato,164100
1461,2019/11/5,Kobe,Nagasawa,18040
1462,2019/11/20,Osaka,Nashimoto,342400
1463,2019/10/23,Osaka,Nashimoto,9350
1464,2019/10/29,Kobe,Kobayashi,445170
1465,2019/10/31,Osaka,Oda,123348
1466,2019/10/24,Osaka,Nashimoto,282790
1467,2019/10/27,Kobe,Kobayashi,220575
1468,2019/10/29,Osaka,Oda,129600
1469,2019/10/27,Osaka,Sato,70600
1470,2019/10/29,Osaka,Nashimoto,127075
1471,2019/10/29,Osaka,Nashimoto,346300
1472,2019/11/5,Osaka,Hirano,84425
1473,2019/11/5,Osaka,Hirano,55000
1474,2019/10/31,Kobe,Kobayashi,92387
1475,2019/11/4,Osaka,Hirano,157000
1476,2019/11/25,Osaka,Oda,46845
1477,2019/11/5,Osaka,Hirano,63850
1478,2019/11/5,Osaka,Sato,28780
1479,2019/12/5,Osaka,Sato,65500
1480,2019/12/5,Osaka,Shibata,162450
1481,2019/11/11,Osaka,Sato,129675
1482,2019/11/14,Osaka,Hirano,185000
1483,2019/11/14,Kobe,Kobayashi,48425
1484,2019/11/14,Kobe,Fushimi,189050
1485,2019/11/7,Osaka,Oda,36000
1486,2019/11/10,Osaka,Nashimoto,145900
1487,2019/11/12,Osaka,Shibata,149835
1488,2019/11/21,Kobe,Nagasawa,53640
1489,2019/11/21,Kobe,Nakagawa,99700
1490,2019/11/18,Osaka,Shibata,13980
1491,2019/11/18,Osaka,Shibata,5235
1492,2019/11/17,Osaka,Oda,24000
1493,2019/11/25,Osaka,Sato,141600
1494,2019/11/18,Osaka,Sato,22800
1495,2019/11/18,Osaka,Oda,311800
1496,2019/11/21,Osaka,Nashimoto,31920
1497,2019/11/24,Kobe,Nagasawa,73600
1498,2019/11/27,Kobe,Nakagawa,452980
1499,2019/11/21,Osaka,Nashimoto,231170
1500,2019/11/26,Kobe,Nagasawa,191285
1501,2019/11/28,Osaka,Oda,219600
1502,2019/12/19,Osaka,Sato,108000
1503,2019/11/24,Kobe,Nakagawa,159056
1504,2019/12/3,Osaka,Oda,163148
1505,2019/11/28,Osaka,Shibata,25200
1506,2019/11/27,Osaka,Oda,8800
1507,2019/11/27,Kobe,Nagasawa,5520
1508,2019/11/28,Osaka,Sato,194850
1509,2019/12/2,Osaka,Hirano,199000
1510,2019/12/15,Kobe,Nagasawa,308200
1511,2019/12/4,Osaka,Oda,164460
1512,2019/12/12,Osaka,Oda,32000
1513,2019/12/10,Osaka,Sato,291700
1514,2019/12/8,Kobe,Kobayashi,50700
1515,2019/12/9,Osaka,Oda,433700
1516,2019/12/8,Osaka,Oda,61600
1517,2019/12/8,Kobe,Nagasawa,228600
1518,2019/12/9,Osaka,Oda,151560
1519,2019/12/9,Osaka,Sato,231000
1520,2019/12/15,Osaka,Sato,2800
1521,2019/12/15,Osaka,Oda,147700
1522,2019/12/12,Osaka,Oda,168427
1523,2019/12/17,Osaka,Hirano,23625
1524,2019/1/2,Kobe,Nakagawa,34400
1525,2019/12/19,Osaka,Oda,360322
1526,2019/12/16,Osaka,Nashimoto,203040
1527,2019/12/12,Osaka,Sato,86875
1528,2019/12/26,Kobe,Fushimi,22800
1529,2019/12/18,Osaka,Nashimoto,663527
1530,2020/1/21,Kobe,Fushimi,22400
1531,2019/12/24,Osaka,Oda,9650
1532,2020/1/14,Osaka,Oda,133500
1533,2019/12/25,Osaka,Shibata,72000
1534,2019/12/19,Osaka,Shibata,97588
1535,2019/12/22,Kobe,Nakagawa,1250
1536,2019/12/19,Osaka,Sato,144250
1537,2019/12/22,Osaka,Sato,148800
1538,2019/12/24,Osaka,Nashimoto,38750
1539,2019/12/23,Osaka,Hirano,153108
1540,2019/12/26,Osaka,Shibata,262276
1541,2020/1/19,Osaka,Nashimoto,73150
1542,2019/12/31,Osaka,Nashimoto,368700
1543,2019/12/26,Kobe,Nagasawa,72250
1544,2020/1/1,Kobe,Nagasawa,182976
1545,2019/12/31,Osaka,Nashimoto,39985
1546,2020/1/8,Osaka,Oda,19110
1547,2020/1/2,Kobe,Nagasawa,31476
1548,2020/1/20,Osaka,Hirano,215800
1549,2020/1/14,Osaka,Oda,234136
1550,2020/1/5,Kobe,Fushimi,42000
1551,2020/1/5,Osaka,Shibata,44660
1552,2020/1/5,Kobe,Nakagawa,155350
1553,2020/1/5,Osaka,Nashimoto,146893
1554,2019/12/31,Osaka,Sato,302685
1555,2020/1/2,Osaka,Sato,294281
1556,2020/1/6,Osaka,Sato,119301
1557,2020/1/7,Kobe,Nagasawa,22784
1558,2020/1/9,Osaka,Shibata,277500
1559,2020/1/5,Osaka,Oda,43960
1560,2020/1/30,Osaka,Sato,1840
1561,2020/1/9,Osaka,Shibata,141100
1562,2020/1/7,Kobe,Fushimi,14000
1563,2020/1/7,Osaka,Shibata,18700
1564,2020/1/8,Osaka,Hirano,85200
1565,2020/1/12,Kobe,Kobayashi,169280
1566,2020/1/9,Osaka,Nashimoto,60240
1567,2020/1/14,Osaka,Oda,178845
1568,2020/1/14,Osaka,Shibata,4000
1569,2020/2/4,Osaka,Sato,844645
1570,2020/1/13,Osaka,Oda,1095284
1571,2020/1/12,Kobe,Fushimi,83300
1572,2020/1/16,Osaka,Shibata,47700
1573,2020/1/13,Osaka,Oda,114000
1574,2020/1/15,Osaka,Nashimoto,67800
1575,2020/1/16,Kobe,Nagasawa,23790
1576,2020/1/13,Kobe,Kobayashi,282600
1577,2020/1/30,Osaka,Hirano,25080
1578,2020/1/14,Osaka,Nashimoto,103076
1579,2020/2/6,Kobe,Nagasawa,73000
1580,2020/2/6,Osaka,Nashimoto,84300
1581,2020/2/4,Kobe,Nakagawa,93200
1582,2020/1/23,Kobe,Nakagawa,176400
1583,2020/1/21,Osaka,Sato,197400
1584,2020/1/23,Osaka,Oda,268440
1585,2020/1/19,Osaka,Shibata,47511
1586,2020/1/23,Kobe,Nagasawa,90693
1587,2020/1/19,Osaka,Nashimoto,143271
1588,2020/1/21,Osaka,Nashimoto,84580
1589,2020/1/21,Kobe,Fushimi,470550
1590,2020/1/23,Kobe,Nakagawa,106450
1591,2020/1/23,Osaka,Oda,193838
1592,2020/1/22,Osaka,Oda,82755
1593,2020/2/16,Osaka,Sato,21120
1594,2020/1/29,Kobe,Kobayashi,458100
1595,2020/1/29,Osaka,Nashimoto,97500
1596,2020/1/26,Osaka,Sato,15900
1597,2020/1/26,Osaka,Hirano,73500
